date,date_q,file_name,words,d_per_1000,h_per_1000,i_per_1000,d_net_per_1000,DLI_1,DLI_2,DLI_3
2008-10-29,2008-10-01,2008-10-29.htm,291,20.61855670103093,17.18213058419244,27.491408934707902,3.43642611683849,-0.297043506321019,-0.4346898277925493,-0
2008-12-16,2008-10-01,2008-12-16.htm,402,37.3134328358209,12.437810945273633,14.925373134328359,24.875621890547265,0.13562527146400807,0.5602709320195017,0
2009-01-28,2009-01-01,2009-01-28.htm,479,35.49060542797495,29.227557411273487,29.227557411273487,6.263048016701461,-0.22590695750212092,-0.3035105660854516,-0
2009-03-18,2009-01-01,2009-03-18.htm,419,31.026252983293556,16.706443914081145,19.09307875894988,14.319809069212411,0.027341919174367554,0.07039157012530957,0
2009-04-29,2009-04-01,2009-04-29.htm,427,44.49648711943794,23.4192037470726,25.761124121779858,21.077283372365336,0.23906976086752713,0.38399576675849123,0
2009-06-24,2009-04-01,2009-06-24.htm,380,42.10526315789474,26.31578947368421,23.68421052631579,15.789473684210531,0.07617962410307166,0.13859648963076068,0
2009-08-12,2009-07-01,2009-08-12.htm,422,37.91469194312796,18.95734597156398,21.327014218009477,18.95734597156398,0.13334513074160062,0.28561266744270847,0
2009-09-23,2009-07-01,2009-09-23.htm,425,54.11764705882353,18.823529411764707,25.88235294117647,35.294117647058826,0.6542831220394407,1.0437776159180345,0
2009-11-04,2009-10-01,2009-11-04.htm,464,49.56896551724138,21.551724137931036,32.327586206896555,28.017241379310345,0.6024005215633335,0.7060687570206272,0
2009-12-16,2009-10-01,2009-12-16.htm,560,37.5,17.857142857142858,23.214285714285715,19.642857142857142,0.16923525905434952,0.317426207607583,0
2010-01-27,2010-01-01,2010-01-27.htm,542,27.675276752767527,16.605166051660518,23.985239852398525,11.070110701107009,-0.04505415590870965,-0.08042203275503765,-0
2010-03-16,2010-01-01,2010-03-16.htm,443,29.345372460496613,22.573363431151243,36.11738148984199,6.772009029345369,-0.27604468263538084,-0.27989045266329166,-0
2010-04-28,2010-04-01,2010-04-28.htm,409,26.894865525672373,24.449877750611247,39.119804400978,2.4449877750611257,-0.5247785143467971,-0.4807009868049268,-0.4807009868049268
2010-05-09,2010-04-01,2010-05-09.htm,302,26.490066225165563,3.3112582781456954,3.3112582781456954,23.17880794701987,-0.07982519643068452,0.4815243545670936,0
2010-06-23,2010-04-01,2010-06-23.htm,361,27.700831024930746,30.47091412742382,49.86149584487535,-2.770083102493075,-1.0616135318136024,-0.7227245653744235,-0.7227245653744235
2010-08-10,2010-07-01,2010-08-10.htm,459,41.39433551198257,15.250544662309368,41.39433551198257,26.143790849673202,0.7253466196034716,0.619124741857338,0.619124741857338
2010-09-21,2010-07-01,2010-09-21.htm,429,39.62703962703963,18.64801864801865,39.62703962703963,20.97902097902098,0.42098625183931987,0.3794355571977042,0.3794355571977042
2010-11-03,2010-10-01,2010-11-03.htm,492,48.78048780487805,12.195121951219512,46.7479674796748,36.58536585365854,1.500559210496866,1.103702498842976,1.103702498842976
2010-12-14,2010-10-01,2010-12-14.htm,491,48.87983706720978,10.183299389002036,46.84317718940937,38.69653767820774,1.6377824393921832,1.2016788009775545,1.2016788009775545
2011-01-26,2011-01-01,2011-01-26.htm,437,48.05491990846682,6.864988558352403,48.05491990846682,41.18993135011442,1.8515492298993046,1.3173934429117033,1.3173934429117033
2011-03-15,2011-01-01,2011-03-15.htm,463,51.83585313174946,12.958963282937365,60.475161987041034,38.8768898488121,2.228449095068844,1.2100486733642006,1.2100486733642006
2011-04-27,2011-04-01,2011-04-27.htm,465,51.61290322580645,6.451612903225806,62.365591397849464,45.16129032258064,2.86524716012212,1.5016982266562968,1.5016982266562968
2011-06-22,2011-04-01,2011-06-22.htm,459,45.751633986928105,13.071895424836601,45.751633986928105,32.6797385620915,1.221857226888455,0.9224482233292639,0.9224482233292639
2011-08-09,2011-07-01,2011-08-09.htm,528,41.666666666666664,22.727272727272727,41.666666666666664,18.939393939393938,0.33636197951164265,0.2847795406894195,0.2847795406894195
2011-09-21,2011-07-01,2011-09-21.htm,595,42.016806722689076,15.126050420168067,31.932773109243698,26.89075630252101,0.5487333694617683,0.6537902825969868,0
2011-11-02,2011-10-01,2011-11-02.htm,495,38.38383838383838,16.161616161616163,38.38383838383838,22.222222222222218,0.46591558967417407,0.43713065297418224,0
2011-12-13,2011-10-01,2011-12-13.htm,439,45.558086560364465,18.223234624145785,38.724373576309794,27.33485193621868,0.7268739029576382,0.6744000915560946,0.6744000915560946
2012-01-25,2012-01-01,2012-01-25.htm,427,35.1288056206089,18.73536299765808,30.44496487119438,16.393442622950822,0.13114521661346334,0.16662577769430093,0
2012-03-13,2012-01-01,2012-03-13.htm,437,36.61327231121282,13.729977116704806,36.61327231121282,22.883295194508012,0.46952863493853364,0.46781005315967256,0
2012-04-25,2012-04-01,2012-04-25.htm,446,33.63228699551569,17.937219730941703,35.874439461883405,15.69506726457399,0.13122605026816675,0.13421522999751,0
2012-06-20,2012-04-01,2012-06-20.htm,507,27.613412228796843,15.779092702169626,27.613412228796843,11.834319526627217,-0.030913277963915013,-0.044956253081198355,-0
2012-08-01,2012-07-01,2012-08-01.htm,466,32.18884120171674,19.313304721030043,30.042918454935624,12.875536480686698,0.002601006586667342,0.0033650562941578213,0
2012-09-13,2012-07-01,2012-09-13.htm,566,40.63604240282685,22.968197879858657,28.268551236749115,17.667844522968196,0.16043956079990973,0.22576884892378013,0
2012-10-24,2012-10-01,2012-10-24.htm,553,50.63291139240506,21.699819168173597,28.933092224231466,28.933092224231466,0.5494314514418621,0.7485720142395705,0
2012-12-12,2012-10-01,2012-12-12.htm,689,53.70101596516691,11.611030478955007,39.18722786647315,42.0899854862119,1.4870091747391956,1.3591635986850705,1.3591635986850705
2013-01-30,2013-01-01,2013-01-30.htm,648,54.01234567901235,13.88888888888889,46.2962962962963,40.123456790123456,1.7036866295098718,1.2678999661167354,1.2678999661167354
2013-03-20,2013-01-01,2013-03-20.htm,646,54.17956656346749,13.93188854489164,46.43962848297214,40.24767801857585,1.717843761813111,1.273664886086231,1.273664886086231
2013-05-01,2013-04-01,2013-05-01.htm,672,55.05952380952381,14.880952380952381,46.13095238095238,40.17857142857143,1.699746891967748,1.2704577534108936,1.2704577534108936
2013-06-19,2013-04-01,2013-06-19.htm,700,54.285714285714285,11.428571428571429,45.714285714285715,42.857142857142854,1.8456512904367413,1.3947662159069774,1.3947662159069774
2013-07-31,2013-07-01,2013-07-31.htm,703,52.63157894736842,12.802275960170697,44.09672830725462,39.82930298719772,1.5884638144061207,1.2542487315112143,1.2542487315112143
2013-09-18,2013-07-01,2013-09-18.htm,801,43.69538077403246,12.484394506866417,39.95006242197253,31.210986267166042,0.957526077836368,0.8542856432232132,0.8542856432232132
2013-10-30,2013-10-01,2013-10-30.htm,779,44.929396662387674,14.120667522464698,41.078305519897306,30.808729139922974,0.9697089940826787,0.835617496284027,0.835617496284027
2013-12-18,2013-10-01,2013-12-18.htm,877,42.18928164196123,14.823261117445838,36.488027366020525,27.366020524515392,0.675356936001434,0.6758465787574474,0
2014-01-29,2014-01-01,2014-01-29.htm,840,44.04761904761905,9.523809523809524,36.904761904761905,34.523809523809526,1.0220502199436567,1.0080287770302718,0
2014-03-19,2014-01-01,2014-03-19.htm,886,41.760722347629795,11.286681715575622,37.246049661399546,30.474040632054173,0.8413208757213362,0.8200851071214696,0
